ZIP Code,Postal City 1,Postal City 2,Postal City 3,Not Acceptable 1,Not Acceptable 2,Not Acceptable 3,Location
90004,Los Angeles,,,,,,"90004(34.075720587000035, -118.30301712299996)"
90606,Whittier,,,Los Nietos,,,"90606(33.976393761000054, -118.06602748799997)"
90631,La Habra,La Habra Heights,,,,,"90631(33.93180096900005, -117.95265760399997)"
91770,Rosemead,South San Gabriel,,,,,"91770(34.06563148400005, -118.08368993499994)"
90704,Avalon,,,Catalina,Santa Catalina,,"90704(33.34416070100008, -118.32659746799999)"
90043,Los Angeles,View Park,Windsor Hills,La Tijera,,,"90043(33.986730529000056, -118.33290641499997)"
91608,Universal City,,,,,,"91608(34.13678094900007, -118.35550913399999)"
91746,La Puente,Bassett,Industry,,,,"91746(34.04617020400008, -117.98488885499995)"
91406,Van Nuys,,,,,,"91406(34.19981394400003, -118.48688906499996)"
92649,Huntington Beach,,,,,,"92649(33.72098130300003, -118.04372891899999)"
90810,Long Beach,Carson,,Cabrillo,Dominguez,,"90810(33.813560335000034, -118.21653847799996)"
90295,Marina Del Rey,,,,,,"90295(33.988120931000026, -118.46967849899994)"
91765,Diamond Bar,,,,,,"91765(34.001864183000066, -117.81637650699997)"
91790,West Covina,,,,,,"91790(34.066643870000064, -117.93768905999997)"
90041,Los Angeles,,,,,,"90041(34.13538185700003, -118.20684911599994)"
90005,Los Angeles,,,,,,"90005(34.05907052600003, -118.30301712299996)"
93563,Valyermo,,,,,,"93563(34.41615176800008, -117.78187716299999)"
90302,Inglewood,,,,,,"90302(33.97375199800007, -118.35768598199996)"
90701,Artesia,,,,,,"90701(33.86631304700006, -118.08104817199995)"
92397,Wrightwood,,,,,,"92397(34.38294289100003, -117.60781624299995)"
90202,Bell,Bell Gardens,,,,,"90202(33.96823384100003, -118.15010768899998)"
91780,Temple City,,,,,,"91780(34.10165157900008, -118.05552995399995)"
90405,Santa Monica,,,,,,"90405(34.01013272900008, -118.47267655199994)"
91372,Calabasas,,,,,,"91372(34.15413055600004, -118.64236639699999)"
91126,Pasadena,,,Cal Tech,,,"91126(34.13591194800006, -118.12575827799998)"
90303,Inglewood,,,,,,"90303(33.93778404200003, -118.33125965799996)"
90807,Long Beach,,,Bixby Knolls,,,"90807(33.83250021400005, -118.181317864)"
91205,Glendale,,,,,,"91205(34.13853198600003, -118.24386856299998)"
91423,Sherman Oaks,Van Nuys,,,,,"91423(34.15306168500007, -118.43295885699996)"
90293,Playa Del Rey,,,,,,"90293(33.95744084700004, -118.43916786999995)"
91351,Canyon Country,Santa Clarita,,,,,"91351(34.42298211600007, -118.47143822599998)"
90232,Culver City,,,,,,"90232(34.01970043100005, -118.39595678999996)"
90277,Redondo Beach,,,,,,"90277(33.83272180900008, -118.38547663699995)"
91401,Van Nuys,Sherman Oaks,,,,,"91401(34.181152145000055, -118.43482720999998)"
91750,La Verne,,,,,,"91750(34.11586409200004, -117.77047586899994)"
91602,North Hollywood,Toluca Lake,,,,,"91602(34.15134106200003, -118.36907858599994)"
91331,Pacoima,,,Lakeview Terrace,,,"91331(34.25726360600004, -118.41981956099994)"
91340,San Fernando,,,,,,"91340(34.28619265300006, -118.43744724799996)"
91335,Reseda,,,Encino,,,"91335(34.200183269000036, -118.54031959799994)"
91321,Newhall,,,Friendly Valley,,,"91321(34.385523824000074, -118.51401927999996)"
91618,North Hollywood,,,,,,"91618(34.182320952000055, -118.38523766199995)"
91396,Winnetka,Canoga Park,,,,,"91396(34.20932081600006, -118.57097795699997)"
90744,Wilmington,,,,,,"90744(33.783723182000074, -118.26266940199997)"
90670,Santa Fe Springs,,,,,,"90670(33.93592003500004, -118.06608831799997)"
90039,Los Angeles,,,Griffith,,,"90039(34.11160164200004, -118.26125727499999)"
91436,Encino,,,,,,"91436(34.15384378600004, -118.48733660099998)"
92835,Fullerton,,,,,,"92835(33.90102095100008, -117.91361772999994)"
91040,Sunland,Shdaow Hills,,,,,"91040(34.25970115500007, -118.32449882999998)"
91709,Chino Hills,,,,,,"91709(33.97585063500003, -117.72535733099994)"
91604,Studio City,,,,,,"91604(34.144462919000034, -118.39427961799998)"
91042,Tujunga,,,,,,"91042(34.25460011800004, -118.28725778799998)"
91214,La Crescenta,,,,,,"91214(34.228573535000066, -118.24694917199997)"
93534,Lancaster,Hi Vista,,,,,"93534(34.68758426100004, -118.14967753399998)"
90212,Beverly Hills,,,,,,"90212(34.063841342000046, -118.40025834599999)"
91745,Hacienda Heights,Industry,,,,,"91745(33.99778422300005, -117.96604891099997)"
90745,Carson,,,,,,"90745(33.82597401600003, -118.26966920499996)"
91775,San Gabriel,,,,,,"91775(34.115651187000026, -118.08573643299997)"
90013,Los Angeles,,,Federal,,,"90013(34.04602247400004, -118.24624962599995)"
90814,Long Beach,,,,,,"90814(33.771431161000066, -118.15235840199995)"
91504,Burbank,,,,,,"91504(34.198254087000066, -118.33049928199995)"
91006,Arcadia,,,,,,"91006(34.13222303800006, -118.02498891099998)"
91610,Toluca Lake,,,,,,"91610(34.15221006300004, -118.35022995199995)"
90068,Los Angeles,Hollywood,,,,,"90068(34.11525144700005, -118.33141607899995)"
91405,Van Nuys,,,,,,"91405(34.20047004000003, -118.44869646699999)"
91731,El Monte,,,,,,"91731(34.078814231000024, -118.03912755899995)"
93243,Lebec,Gorman,,,,,"93243(34.874840963000054, -118.88918877999998)"
92301,Adelanto,,,,,,"92301(34.557681632000026, -117.43825674799996)"
92805,Anaheim,,,,,,"92805(33.83284346900007, -117.90784756199997)"
90502,Torrance,,,,,,"90502(33.83163121300004, -118.29281939499998)"
91505,Burbank,,,,,,"91505(34.167673938000064, -118.34449888999995)"
90290,Topanga,,,,,,"90290(34.10128225400007, -118.60494720999998)"
90028,Los Angeles,Hollywood,,,,,"90028(34.10072174800007, -118.32821815499994)"
91413,Sherman Oaks,,,,,,"91413(34.16488010000006, -118.45744730799998)"
93510,Acton,,,,,,"93510(34.489013165000074, -118.19703809399999)"
90272,Pacific Palisades,,,,,,"90272(34.04886410800003, -118.53572692699998)"
90210,Beverly Hills,,,,,,"90210(34.08553160900004, -118.40426878599999)"
90296,Playa Del Rey,,,,,,"90296(33.988120931000026, -118.46967849899994)"
90067,Los Angeles,Century City,,,,,"90067(34.05955282100007, -118.41458817399996)"
90008,Los Angeles,View Park,,Crenshaw,,,"90008(34.01097131500006, -118.34158773599995)"
90755,Signal Hill,,,,,,"90755(33.799760597000045, -118.16687940999998)"
92823,Brea,,,,,,"92823(33.92240272300006, -117.83316995299998)"
91617,Valley Village,,,,,,"91617(34.16486271900004, -118.40451645099995)"
90255,Huntington Park,Walnut Park,,,,,"90255(33.97867054400007, -118.21899775099996)"
90805,Long Beach,,,North Long Beach,,,"90805(33.862810972000034, -118.17910625599995)"
92832,Fullerton,,,,,,"92832(33.86714294300003, -117.92859930899999)"
90254,Hermosa Beach,,,,,,"90254(33.86430130900004, -118.39718642699995)"
92831,Fullerton,,,,,,"92831(33.88139021600006, -117.89174931699995)"
90044,Los Angeles,,,Hancock,,,"90044(33.953860562000045, -118.29194604899999)"
91740,Glendora,,,,,,"91740(34.11709372900003, -117.85499926099999)"
90048,Los Angeles,West Hollywood,,Bicentennial,Briggs,,"90048(34.073161378000066, -118.37406665299994)"
90022,Los Angeles,East Los Angeles,Commerce,,,,"90022(34.02358052100004, -118.15511747999994)"
93544,Llano,,,,,,"93544(34.494170686000075, -117.79374771799996)"
90265,Malibu,,,,,,"90265(34.035060025000064, -118.76029853699998)"
90058,Los Angeles,Vernon,,,,,"90058(34.001842458000056, -118.221126804)"
90201,Bell Gardens,Bell,Cudahy,,,,"90201(33.969580792000045, -118.17504802099995)"
90016,Los Angeles,,,West Adams,,,"90016(34.028881427000044, -118.35308896599997)"
91601,North Hollywood,,,,,,"91601(34.16713081200004, -118.37252852099999)"
91776,San Gabriel,,,,,,"91776(34.08980274900006, -118.09671626199997)"
93543,Littlerock,,,,,,"93543(34.53302372600007, -117.95804975599998)"
91326,Porter Ranch,Northridge,,,,,"91326(34.27493039900003, -118.55013930999996)"
90065,Los Angeles,,,,,,"90065(34.10881214900007, -118.22766603699995)"
90007,Los Angeles,,,,,,"90007(34.02833395700003, -118.28507659499996)"
90270,Maywood,Bell Gardens,,,,,"90270(33.98850329100003, -118.18894769299999)"
91744,La Puente,Industry,Valinda,,,,"91744(34.030754125000044, -117.93966603799998)"
90062,Los Angeles,,,Westvern,,,"90062(34.00387157600005, -118.30885680999995)"
91402,Panorama City,,,,,,"91402(34.225753627000074, -118.44892675199998)"
91207,Glendale,,,,,,"91207(34.16381122800004, -118.24788769299994)"
91107,Pasadena,,,,,,"91107(34.150763177000044, -118.09228870099997)"
90047,Los Angeles,,,Wagner,,,"90047(33.95687165100003, -118.30907840499998)"
90049,Los Angeles,Brentwood,,Barrington,,,"90049(34.06172097900003, -118.47225943199999)"
91506,Burbank,,,,,,"91506(34.17111083700007, -118.32257833699998)"
91502,Burbank,,,,,,"91502(34.17644215900003, -118.30647574699998)"
90803,Long Beach,,,Belmont Shore,Naples,,"90803(33.76151151400006, -118.13748979299999)"
90015,Los Angeles,,,,,,"90015(34.04012195700005, -118.26498963499995)"
93551,Palmdale,Quartz Hill,Leona Valley,,,,"93551(34.60587208800007, -118.18323835599995)"
90505,Torrance,,,,,,"90505(33.81145300700007, -118.34787930399995)"
91786,Upland,,,,,,"91786(34.10199049000005, -117.65981726799998)"
91302,Calabasas,Hidden Hills,,,,,"91302(34.143272387000025, -118.66282702799998)"
90211,Beverly Hills,,,,,,"90211(34.06566189900008, -118.38146619699995)"
90712,Lakewood,,,,,,"90712(33.84907206500003, -118.14617980399998)"
90073,Los Angeles,,,,,,"90073(34.034690700000056, -118.43711702699994)"
91706,Baldwin Park,Irwindale,,,,,"91706(34.08512317900005, -117.96798678399995)"
91710,Chino,,,,,,"91710(34.017832078000026, -117.68943717099995)"
91385,Valencia,,,,,,"91385(34.39058141000004, -118.56088885399998)"
90059,Los Angeles,,,Greenmead,,,"90059(33.92701277300006, -118.24839605899996)"
90895,Carson,,,Lakeshore Learning,,,"90895(33.83926104200003, -118.27444871199998)"
90715,Lakewood,,,,,,"90715(33.839660783000056, -118.07954914499999)"
90813,Long Beach,,,,,,"90813(33.78137253400007, -118.18660573499994)"
91327,Northridge,Porter Ranch,,,,,"91327(34.27504336900006, -118.55377607999998)"
90263,Malibu,,,,,,"90263(34.03476022000007, -118.70434790099995)"
91352,Sun Valley,,,,,,"91352(34.22551030600005, -118.37651723599998)"
90224,Compton,Rancho Dominguez,,,,,"90224(33.89040175700006, -118.21614742799994)"
90605,Whittier,,,,,,"90605(33.94588313200006, -118.03256659999994)"
90404,Santa Monica,,,,,,"90404(34.02784297100004, -118.47471870499999)"
91118,San Marino,,,,,,"91118(34.12654411600005, -118.09192806499999)"
92801,Anaheim,,,,,,"92801(33.842193921000046, -117.95265760399997)"
91792,West Covina,,,,,,"91792(34.02193376400004, -117.90013952299995)"
91607,Valley Village,,,SHERMAN VILLAGE,,,"91607(34.16615318600003, -118.399337205)"
91303,Canoga Park,Woodland Hills,,,,,"91303(34.19807159700008, -118.59909883199998)"
90230,Culver City,Los Angeles,,,,,"90230(33.99506425000004, -118.39500957899998)"
91376,Agoura Hills,,,,,,"91376(34.14707426700005, -118.75386792799998)"
90040,Los Angeles,Commerce,,City Of Commerce,,,"90040(33.99649375600006, -118.15148940099999)"
91364,Woodland Hills,,,,,,"91364(34.16201239600008, -118.59846880699996)"
91767,Pomona,,,,,,"91767(34.080760793000024, -117.73770583699996)"
91307,West Hills,,,,,,"91307(34.19781089600008, -118.63800835699999)"
91521,Burbank,,,,,,"91521(34.187313363000044, -118.34905680099996)"
91403,Sherman Oaks,,,,,,"91403(34.15450422600003, -118.45955898099999)"
90710,Harbor City,,,,,,"90710(33.79480294600006, -118.29872860199998)"
91380,Santa Clarita,Valencia,,,,,"91380(34.421682960000055, -118.56184909999996)"
92683,Westminster,,,,,,"92683(33.753842579000036, -117.99399598599996)"
90621,Buena Park,,,,,,"90621(33.870371282000065, -117.99698969499997)"
90032,Los Angeles,,,,,,"90032(34.081512479000025, -118.17678602299998)"
91330,Northridge,,,CA State Univ Northridge,,,"91330(34.24341172900006, -118.53609625299998)"
93536,Lancaster,Del Sur,,Fairmont,Metler Valley,Neenach,"93536(34.68816214700007, -118.23417920099996)"
90274,Palos Verdes Peninsula,Palos Verdes Estates,Rolling Hills,,,,"90274(33.77664082300004, -118.37785984199996)"
91354,Valencia,Santa Clarita,,,,,"91354(34.44749229200005, -118.54920947899996)"
90017,Los Angeles,,,Foy,,,"90017(34.05230100700004, -118.26338632699998)"
90740,Seal Beach,,,,,,"90740(33.761194329000034, -118.08841730099999)"
91741,Glendora,,,,,,"91741(34.13905338700005, -117.85502967599996)"
91304,Canoga Park,West Hills,,,,,"91304(34.22192133200008, -118.60967892099995)"
90504,Torrance,,,,,,"90504(33.87165305800005, -118.33125965799996)"
90026,Los Angeles,,,Echo Park,Edendale,Silver Lake,"90026(34.07687201300007, -118.26535895999996)"
90262,Lynwood,,,,,,"90262(33.925122696000074, -118.20319931099999)"
90077,Los Angeles,,,Barrington,,,"90077(34.104093473000034, -118.45101669999997)"
91324,Northridge,,,,,,"91324(34.23552119900006, -118.54598982999994)"
91203,Glendale,,,,,,"91203(34.15282270900008, -118.26132679499995)"
90305,Inglewood,,,,,,"90305(33.958092598000064, -118.32920881599995)"
91501,Burbank,,,Starlight Hills,,,"91501(34.18518431000007, -118.30236971699998)"
90603,Whittier,,,,,,"90603(33.94370194000004, -117.99197990399995)"
92647,Huntington Beach,,,,,,"92647(33.72037300200003, -118.00086978499996)"
91495,Sherman Oaks,,,,,,"91495(34.20122172600003, -118.47497940499994)"
91105,Pasadena,,,,,,"91105(34.13698081900003, -118.159175716)"
90027,Los Angeles,,,Hollywood,Los Feliz,,"90027(34.10546214900006, -118.29236751399998)"
93591,Palmdale,Lake Los Angeles,,,,,"93591(34.596760611000036, -117.83826664399999)"
90024,Los Angeles,,,Village,,,"90024(34.06136034300005, -118.44023674099998)"
91426,Encino,,,,,,"91426(34.16012231800005, -118.50103640299994)"
90831,Long Beach,,,,,,"90831(33.76740334100003, -118.19939743199996)"
90402,Santa Monica,,,,,,"90402(34.03254426700005, -118.50584632399995)"
90639,La Mirada,,,,,,"90639(33.90554410100003, -118.01801952199997)"
90012,Los Angeles,,,Federal,,,"90012(34.05948330100006, -118.24204800499996)"
91367,Woodland Hills,,,,,,"91367(34.17858424700006, -118.60957898599997)"
90011,Los Angeles,,,,,,"90011(34.007903741000064, -118.259036977)"
90247,Gardena,,,,,,"90247(33.89189209400007, -118.29849831699994)"
90601,Whittier,City of Industry,,,,,"90601(33.995472680000034, -118.04046581999995)"
90630,Cypress,,,,,,"90630(33.82014301800007, -118.03980972399995)"
91759,Mt Baldy,,,,,,"91759(34.237141886000074, -117.65801843599996)"
